trans_id,account_id,Date,Type,operation,amount,balance,Purpose,bank,account_partern_id
3579292,1485,2016-12-31,Credit,Interest Credit,288,73231.20,Interest Credited,,
3580985,1536,2016-12-31,Credit,Interest Credit,198,46493.70,Interest Credited,,
3579728,1497,2016-12-31,Credit,Interest Credit,123,27016.30,Interest Credited,,
3581840,1566,2016-12-31,Credit,Interest Credit,203,52893.10,Interest Credited,,
3582084,1575,2016-12-31,Credit,Interest Credit,105,25935.80,Interest Credited,,
3580241,1513,2016-12-31,Credit,Interest Credit,160,41134.40,Interest Credited,,
3580914,1535,2016-12-31,Credit,Interest Credit,104,23020.30,Interest Credited,,
3578911,1476,2016-12-31,Credit,Interest Credit,110,20680.00,Interest Credited,,
3581221,1545,2016-12-31,Credit,Interest Credit,102,21193.30,Interest Credited,,
3581774,1565,2016-12-31,Credit,Interest Credit,74,23380.20,Interest Credited,,
919324,3133,2016-12-31,Withdrawal,Withdrawal in cash,15,58102.80,Payment on Statement,,
963787,3284,2016-12-31,Withdrawal,Withdrawal in cash,15,26857.30,Payment on Statement,,
963386,3283,2016-12-31,Withdrawal,Withdrawal in cash,15,35471.10,Payment on Statement,,
964687,3287,2016-12-31,Withdrawal,Withdrawal in cash,15,51874.40,Payment on Statement,,
961879,3277,2016-12-31,Withdrawal,Withdrawal in cash,15,59944.20,Payment on Statement,,
1068089,3649,2016-12-31,Withdrawal,Withdrawal in cash,15,45698.20,Payment on Statement,,
1066491,3644,2016-12-31,Withdrawal,Withdrawal in cash,15,21043.20,Payment on Statement,,
1779315,6034,2016-12-31,Withdrawal,Withdrawal in cash,30,78906.00,Payment on Statement,,
1736890,5891,2016-12-31,Withdrawal,Withdrawal in cash,15,52129.90,Payment on Statement,,
1730681,5868,2016-12-31,Withdrawal,Withdrawal in cash,15,24331.70,Payment on Statement,,
44448,148,2016-12-31,Withdrawal,Withdrawal in cash,15,18264.40,Payment on Statement,,
48961,163,2016-12-31,Withdrawal,Withdrawal in cash,15,30121.10,Payment on Statement,,
49478,165,2016-12-31,Withdrawal,Withdrawal in cash,15,29079.10,Payment on Statement,,
50281,168,2016-12-31,Withdrawal,Withdrawal in cash,15,15027.80,Payment on Statement,,
23760,78,2016-12-31,Withdrawal,Withdrawal in cash,15,54437.90,Payment on Statement,,
25336,83,2016-12-31,Withdrawal,Withdrawal in cash,15,22193.80,Payment on Statement,,
26360,86,2016-12-31,Withdrawal,Withdrawal in cash,15,20067.70,Payment on Statement,,
29667,96,2016-12-31,Withdrawal,Withdrawal in cash,15,45968.00,Payment on Statement,,
32518,104,2016-12-31,Withdrawal,Withdrawal in cash,15,16835.40,Payment on Statement,,
35121,112,2016-12-31,Withdrawal,Withdrawal in cash,15,34320.50,Payment on Statement,,
35803,115,2016-12-31,Withdrawal,Withdrawal in cash,15,31267.30,Payment on Statement,,
37005,119,2016-12-31,Withdrawal,Withdrawal in cash,15,42795.60,Payment on Statement,,
38122,123,2016-12-31,Withdrawal,Withdrawal in cash,15,20102.80,Payment on Statement,,
42727,142,2016-12-31,Withdrawal,Withdrawal in cash,15,23325.70,Payment on Statement,,
39695,128,2016-12-31,Withdrawal,Withdrawal in cash,15,24526.00,Payment on Statement,,
41150,135,2016-12-31,Withdrawal,Withdrawal in cash,15,27062.60,Payment on Statement,,
899131,3064,2016-12-31,Withdrawal,Withdrawal in cash,15,30132.20,Payment on Statement,,
898613,3063,2016-12-31,Withdrawal,Withdrawal in cash,15,17710.40,Payment on Statement,,
893883,3047,2016-12-31,Withdrawal,Withdrawal in cash,15,19814.40,Payment on Statement,,
895008,3050,2016-12-31,Withdrawal,Withdrawal in cash,15,57781.80,Payment on Statement,,
498705,1699,2016-12-31,Withdrawal,Withdrawal in cash,15,21788.30,Payment on Statement,,
499481,1701,2016-12-31,Withdrawal,Withdrawal in cash,15,16352.60,Payment on Statement,,
502560,1713,2016-12-31,Withdrawal,Withdrawal in cash,15,31412.90,Payment on Statement,,
554396,1887,2016-12-31,Withdrawal,Withdrawal in cash,15,33915.60,Payment on Statement,,
555685,1891,2016-12-31,Withdrawal,Withdrawal in cash,15,28100.30,Payment on Statement,,
556120,1892,2016-12-31,Withdrawal,Withdrawal in cash,15,19405.30,Payment on Statement,,
641332,2189,2016-12-31,Withdrawal,Withdrawal in cash,15,43575.20,Payment on Statement,,
640431,2186,2016-12-31,Withdrawal,Withdrawal in cash,15,27747.20,Payment on Statement,,
644185,2199,2016-12-31,Withdrawal,Withdrawal in cash,15,28814.40,Payment on Statement,,
1838519,6226,2016-12-31,Withdrawal,Withdrawal in cash,30,45218.40,Payment on Statement,,
1781737,6040,2016-12-31,Withdrawal,Withdrawal in cash,15,42654.50,Payment on Statement,,
454581,1544,2016-12-31,Withdrawal,Withdrawal in cash,15,38216.50,Payment on Statement,,
452178,1536,2016-12-31,Withdrawal,Withdrawal in cash,30,46463.70,Payment on Statement,,
451693,1535,2016-12-31,Withdrawal,Withdrawal in cash,15,23005.70,Payment on Statement,,
453078,1539,2016-12-31,Withdrawal,Withdrawal in cash,100,8277.20,Payment on Statement,,
451261,1534,2016-12-31,Withdrawal,Withdrawal in cash,15,36707.00,Payment on Statement,,
473092,1610,2016-12-31,Withdrawal,Withdrawal in cash,15,45801.70,Payment on Statement,,
475756,1621,2016-12-31,Credit,Credit in cash ,1400,25547.00,,,
474684,1617,2016-12-31,Withdrawal,Withdrawal in cash,15,30927.40,Payment on Statement,,
1109676,3788,2016-12-31,Withdrawal,Withdrawal in cash,15,29403.80,Payment on Statement,,
1109249,3787,2016-12-31,Withdrawal,Withdrawal in cash,15,45747.20,Payment on Statement,,
1107111,3781,2016-12-31,Withdrawal,Withdrawal in cash,15,46119.60,Payment on Statement,,
1108258,3785,2016-12-31,Withdrawal,Withdrawal in cash,15,48216.70,Payment on Statement,,
1110776,3792,2016-12-31,Withdrawal,Withdrawal in cash,15,25733.20,Payment on Statement,,
1108717,3786,2016-12-31,Withdrawal,Withdrawal in cash,15,51785.50,Payment on Statement,,
1167090,3999,2016-12-31,Withdrawal,Withdrawal in cash,15,37762.70,Payment on Statement,,
1167545,4000,2016-12-31,Withdrawal,Withdrawal in cash,15,29549.60,Payment on Statement,,
1176556,4034,2016-12-31,Withdrawal,Withdrawal in cash,15,25865.00,Payment on Statement,,
2102968,7123,2016-12-31,Withdrawal,Withdrawal in cash,100,71429.10,Payment on Statement,,
2068981,7011,2016-12-31,Withdrawal,Withdrawal in cash,15,87618.80,Payment on Statement,,
3561102,928,2016-12-31,Credit,Interest Credit,104,24917.80,Interest Credited,,
3559708,890,2016-12-31,Credit,Interest Credit,136,29946.40,Interest Credited,,
3561861,947,2016-12-31,Credit,Interest Credit,104,23248.40,Interest Credited,,
3561233,930,2016-12-31,Credit,Interest Credit,210,48789.20,Interest Credited,,
3559607,887,2016-12-31,Credit,Interest Credit,95,23396.50,Interest Credited,,
3559801,892,2016-12-31,Credit,Interest Credit,104,23974.80,Interest Credited,,
3561925,950,2016-12-31,Credit,Interest Credit,171,48688.80,Interest Credited,,
3559407,884,2016-12-31,Credit,Interest Credit,11,3900.40,Interest Credited,,
3560319,903,2016-12-31,Credit,Interest Credit,15,4985.70,Interest Credited,,
3561766,944,2016-12-31,Credit,Interest Credit,210,52957.60,Interest Credited,,
3558691,863,2016-12-31,Credit,Interest Credit,298,81003.80,Interest Credited,,
3558809,866,2016-12-31,Credit,Interest Credit,164,40616.00,Interest Credited,,
3561168,929,2016-12-31,Credit,Interest Credit,129,27073.00,Interest Credited,,
3559286,882,2016-12-31,Credit,Interest Credit,166,43549.20,Interest Credited,,
3559539,886,2016-12-31,Credit,Interest Credit,165,38557.10,Interest Credited,,
3558552,861,2016-12-31,Credit,Interest Credit,237,62811.80,Interest Credited,,
3559473,885,2016-12-31,Credit,Interest Credit,236,47152.50,Interest Credited,,
3558623,862,2016-12-31,Credit,Interest Credit,390,56601.20,Interest Credited,,
3561696,943,2016-12-31,Credit,Interest Credit,79,18941.00,Interest Credited,,
3560082,899,2016-12-31,Credit,Interest Credit,207,43015.50,Interest Credited,,
3558488,860,2016-12-31,Credit,Interest Credit,124,27203.60,Interest Credited,,
3560417,907,2016-12-31,Credit,Interest Credit,106,25062.10,Interest Credited,,
3560258,902,2016-12-31,Credit,Interest Credit,153,31923.00,Interest Credited,,
3560988,925,2016-12-31,Credit,Interest Credit,191,40723.70,Interest Credited,,
3559983,897,2016-12-31,Credit,Interest Credit,75,19213.10,Interest Credited,,
3561295,931,2016-12-31,Credit,Interest Credit,77,25337.30,Interest Credited,,
270864,928,2016-12-31,Withdrawal,Withdrawal in cash,15,24903.20,Payment on Statement,,
270073,925,2016-12-31,Withdrawal,Withdrawal in cash,15,40709.10,Payment on Statement,,
271293,929,2016-12-31,Withdrawal,Withdrawal in cash,15,27058.40,Payment on Statement,,
298806,1018,2016-12-31,Withdrawal,Withdrawal in cash,15,26470.30,Payment on Statement,,
299370,1019,2016-12-31,Withdrawal,Withdrawal in cash,15,30965.30,Payment on Statement,,
303342,1032,2016-12-31,Withdrawal,Withdrawal in cash,15,29064.60,Payment on Statement,,
337321,1145,2016-12-31,Withdrawal,Withdrawal in cash,15,16291.80,Payment on Statement,,
332667,1132,2016-12-31,Withdrawal,Withdrawal in cash,30,43373.50,Payment on Statement,,
336879,1144,2016-12-31,Withdrawal,Withdrawal in cash,15,14465.10,Payment on Statement,,
333609,1134,2016-12-31,Withdrawal,Withdrawal in cash,15,28671.90,Payment on Statement,,
338123,1147,2016-12-31,Withdrawal,Withdrawal in cash,15,80655.40,Payment on Statement,,
334475,1136,2016-12-31,Withdrawal,Withdrawal in cash,15,85617.50,Payment on Statement,,
647439,2213,2016-12-31,Withdrawal,Withdrawal in cash,15,20945.10,Payment on Statement,,
648349,2216,2016-12-31,Withdrawal,Withdrawal in cash,15,73102.20,Payment on Statement,,
649429,2219,2016-12-31,Withdrawal,Withdrawal in cash,15,38934.20,Payment on Statement,,
649901,2220,2016-12-31,Withdrawal,Withdrawal in cash,15,23428.70,Payment on Statement,,
650470,2222,2016-12-31,Withdrawal,Withdrawal in cash,15,44569.40,Payment on Statement,,
237886,813,2016-12-31,Withdrawal,Withdrawal in cash,15,21436.60,Payment on Statement,,
242497,830,2016-12-31,Withdrawal,Withdrawal in cash,15,63359.30,Payment on Statement,,
1074237,3670,2016-12-31,Withdrawal,Withdrawal in cash,15,19143.50,Payment on Statement,,
1077962,3682,2016-12-31,Withdrawal,Withdrawal in cash,15,29989.20,Payment on Statement,,
1076811,3678,2016-12-31,Withdrawal,Withdrawal in cash,15,22350.60,Payment on Statement,,
1075364,3674,2016-12-31,Withdrawal,Withdrawal in cash,15,10859.00,Payment on Statement,,
1075869,3675,2016-12-31,Withdrawal,Withdrawal in cash,15,55194.10,Payment on Statement,,
3454353,7203,2016-12-31,Credit,Interest Credit,155,23664.70,Interest Credited,,
3455949,8957,2016-12-31,Credit,Interest Credit,263,66709.80,Interest Credited,,
3452217,5483,2016-12-31,Credit,Interest Credit,183,40123.00,Interest Credited,,
3454618,7449,2016-12-31,Credit,Interest Credit,17,15911.00,Interest Credited,,
3454965,7774,2016-12-31,Credit,Interest Credit,293,82845.50,Interest Credited,,
3452975,5984,2016-12-31,Credit,Interest Credit,139,44676.20,Interest Credited,,
3454199,7011,2016-12-31,Credit,Interest Credit,428,87633.40,Interest Credited,,
3453610,6473,2016-12-31,Credit,Interest Credit,283,48982.80,Interest Credited,,
3452899,5927,2016-12-31,Credit,Interest Credit,17,20789.50,Interest Credited,,
3456561,9337,2016-12-31,Credit,Interest Credit,234,54785.20,Interest Credited,,
3453829,6715,2016-12-31,Credit,Interest Credit,147,38869.40,Interest Credited,,
3453404,6281,2016-12-31,Credit,Interest Credit,132,33679.70,Interest Credited,,
3453892,6806,2016-12-31,Credit,Interest Credit,25,31259.20,Interest Credited,,
3452681,5740,2016-12-31,Credit,Interest Credit,172,43702.60,Interest Credited,,
3452318,5546,2016-12-31,Credit,Interest Credit,232,36889.90,Interest Credited,,
3454421,7231,2016-12-31,Credit,Interest Credit,144,87033.70,Interest Credited,,
3455380,8212,2016-12-31,Credit,Interest Credit,80,45624.80,Interest Credited,,
3455879,8934,2016-12-31,Credit,Interest Credit,215,52889.30,Interest Credited,,
3452507,5700,2016-12-31,Credit,Interest Credit,148,32948.00,Interest Credited,,
3452823,5868,2016-12-31,Credit,Interest Credit,94,24346.30,Interest Credited,,
3455277,8132,2016-12-31,Credit,Interest Credit,128,21655.30,Interest Credited,,
3455694,8759,2016-12-31,Credit,Interest Credit,343,68479.50,Interest Credited,,
3454021,6897,2016-12-31,Credit,Interest Credit,368,101509.90,Interest Credited,,
3453049,6034,2016-12-31,Credit,Interest Credit,421,78936.00,Interest Credited,,
3452751,5767,2016-12-31,Credit,Interest Credit,136,32019.90,Interest Credited,,
3456450,9203,2016-12-31,Credit,Interest Credit,45,19638.50,Interest Credited,,
3456099,9041,2016-12-31,Credit,Interest Credit,174,44375.80,Interest Credited,,
3454552,7445,2016-12-31,Credit,Interest Credit,177,44801.20,Interest Credited,,
3453115,6051,2016-12-31,Credit,Interest Credit,106,26926.50,Interest Credited,,
3515638,9883,2016-12-31,Credit,Interest Credit,110,23402.70,Interest Credited,,
3513142,9635,2016-12-31,Credit,Interest Credit,46,11209.00,Interest Credited,,
3517613,10079,2016-12-31,Credit,Interest Credit,271,65543.80,Interest Credited,,
3520164,10320,2016-12-31,Credit,Interest Credit,270,61789.60,Interest Credited,,
3513446,9656,2016-12-31,Credit,Interest Credit,73,23395.60,Interest Credited,,
3510170,9337,2016-12-31,Credit,Interest Credit,79,54551.60,Interest Credited,,
3519767,10266,2016-12-31,Credit,Interest Credit,158,34216.80,Interest Credited,,
3515481,9869,2016-12-31,Credit,Interest Credit,179,49103.20,Interest Credited,,
3509521,9236,2016-12-31,Credit,Interest Credit,75,37327.90,Interest Credited,,
3511499,9472,2016-12-31,Credit,Interest Credit,112,23534.80,Interest Credited,,
3512805,9591,2016-12-31,Credit,Interest Credit,116,21599.70,Interest Credited,,
3517994,10105,2016-12-31,Credit,Interest Credit,258,50830.00,Interest Credited,,
3513212,9640,2016-12-31,Credit,Interest Credit,152,44694.30,Interest Credited,,
3509931,9307,2016-12-31,Credit,Interest Credit,41,19779.80,Interest Credited,,
3520598,10364,2016-12-31,Credit,Interest Credit,155,34582.70,Interest Credited,,
3509740,9265,2016-12-31,Credit,Interest Credit,47,19213.10,Interest Credited,,
3513973,9703,2016-12-31,Credit,Interest Credit,174,63438.60,Interest Credited,,
3515266,9828,2016-12-31,Credit,Interest Credit,273,49816.10,Interest Credited,,
3510792,9403,2016-12-31,Credit,Interest Credit,130,29402.20,Interest Credited,,
3518424,10131,2016-12-31,Credit,Interest Credit,21,39404.60,Interest Credited,,
3514125,9707,2016-12-31,Credit,Interest Credit,214,36555.00,Interest Credited,,
3519441,10227,2016-12-31,Credit,Interest Credit,28,41589.30,Interest Credited,,
3515356,9833,2016-12-31,Credit,Interest Credit,168,29422.30,Interest Credited,,
3577425,1429,2016-12-31,Credit,Interest Credit,63,15246.70,Interest Credited,,
3576687,1410,2016-12-31,Credit,Interest Credit,272,72163.60,Interest Credited,,
3577292,1425,2016-12-31,Credit,Interest Credit,122,28620.10,Interest Credited,,
3578058,1449,2016-12-31,Credit,Interest Credit,110,28974.30,Interest Credited,,
3575746,1381,2016-12-31,Credit,Interest Credit,21,9154.60,Interest Credited,,
3574702,1345,2016-12-31,Credit,Interest Credit,135,42637.80,Interest Credited,,
3576819,1412,2016-12-31,Credit,Interest Credit,176,38508.50,Interest Credited,,
3575811,1382,2016-12-31,Credit,Interest Credit,39,15262.60,Interest Credited,,
3577168,1422,2016-12-31,Credit,Interest Credit,105,23426.10,Interest Credited,,
3576359,1402,2016-12-31,Credit,Interest Credit,134,29148.30,Interest Credited,,
3577823,1442,2016-12-31,Credit,Interest Credit,193,39290.40,Interest Credited,,
3575201,1366,2016-12-31,Credit,Interest Credit,122,28401.30,Interest Credited,,
3576460,1404,2016-12-31,Credit,Interest Credit,140,26838.30,Interest Credited,,
3575993,1392,2016-12-31,Credit,Interest Credit,217,44224.10,Interest Credited,,
3575635,1378,2016-12-31,Credit,Interest Credit,241,49348.40,Interest Credited,,
3577709,1440,2016-12-31,Credit,Interest Credit,100,27292.00,Interest Credited,,
